Transparent A|透明A
Note A|ノートA（ノート）
Note B|ノートB（ノート）
Note C|ノートC（ノート）
Register (Up)|レジ（上向き）
Register (Back)|レジ（後ろ向き）
Register (Left)|レジ（左向き）
Register (Right)|レジ（右向き）
Coin|コイン
Handbell A|ハンドベルA
Handbell B|ハンドベルB
Ink|インク
Register (Up)|レジ（上向き）
Register (Back)|レジ（後ろ向き）
Register (Left)|レジ（左向き）
Register (Right)|レジ（右向き）
Log Box|丸太箱
Stone Box|石箱
Steel Box|鋼箱
Gold Bar Cart|金棒カート
Scroll Box|巻物箱
Crystal Box|鉱石箱
Anvil|鉄床
Cooling water|冷却水
Candelabra A (Top)|燭台A（上半分）
Candelabra B (Top)|燭台B（上半分）
Candelabra C (Top)|燭台C（上半分）
Candelabra D (Top)|燭台D（上半分）
Signboard (Sword)|看板（剣）
Signboard (Shield)|看板（盾）
Signboard (Portion)|看板（薬）
Signboard (Bed)|看板（ベッド）
Candelabra A (Bottom)|燭台A（下半分）
Candelabra B (Bottom)|燭台B（下半分）
Candelabra C (Bottom)|燭台C（下半分）
Candelabra D (Bottom)|燭台D（下半分）
Signboard (Accessory)|看板（アクセサリー）
Signboard (Magic)|看板（魔法）
Signboard (Pub)|看板（酒場）
Signboard (Gamble)|看板（賭け事）
Weapon Rack A (Top Half A)|武器置きA（上半分A）
Weapon Rack A (Top Half B)|武器置きA（上半分B）
Weapon Rack B (Top Half A)|武器置きB（上半分A）
Weapon Rack B (Top Half B)|武器置きB（上半分B）
Weapon Rack C (Top Half A)|武器置きC（上半分A）
Weapon Rack C (Top Half B)|武器置きC（上半分B）
Weapon Rack D (Top Half A)|武器置きD（上半分A）
Weapon Rack D (Top Half B)|武器置きD（上半分B）
Weapon Rack A (Bottom Half A)|武器置きA（下半分A）
Weapon Rack A (Bottom Half B)|武器置きA（下半分B）
Weapon Rack B (Bottom Half A)|武器置きB（下半分A）
Weapon Rack B (Bottom Half B)|武器置きB（下半分B）
Weapon Rack C (Bottom Half A)|武器置きC（下半分A）
Weapon Rack C (Bottom Half B)|武器置きC（下半分B）
Weapon Rack D (Bottom Half A)|武器置きD（下半分A）
Weapon Rack D (Bottom Half B)|武器置きD（下半分B）
Wood Table A (Half A)|木製机A（半分A）
