Plate A (Round)|皿A（円形）
Plate B (Round)|皿B（円形）
Plate C (Round)|皿C（円形）
Plate D (Round)|皿D（円形）
Plate A (Square)|皿A（四角形）
Plate B (Square)|皿B（四角形）
Tray A (Wood Round)|トレーA（木製円形四角形）
Tray B (Wood Square)|トレーB（木製四角形）
Dish A|料理A
Dish B|料理B
Dish C|料理C
Dish D|料理D
Dish E|料理E
Dish F|料理F
Dish G|料理G
Dish H|料理H
Pizza A |ピザA
Pizza B |ピザB
Pizza C |ピザC
Pizza D |ピザD
Pizza E |ピザE
Pizza F |ピザF
Squid Dish|イカ料理
Dish I|料理I
Dish J|料理J
Dish K|料理K
Dish L|料理L
Dish M|料理M
Dish N|料理N
Dish O|料理O
Dish P|料理P
Dish Q|料理Q
Dish R|料理R
Dish S|料理S
Dish T|料理T
Dish U|料理U
Dish V|料理V
Dish W|料理W
Dish X|料理X
Dish Y|料理Y
Bamboo steamer A|せいろA
Bamboo steamer B|せいろB
Bamboo steamer C|せいろC
Bamboo steamer D|せいろD
Bamboo steamer E|せいろE
Bamboo steamer F|せいろF
Bamboo steamer G|せいろG
Bamboo steamer H|せいろH
Chinese Dish A|中華料理A
Chinese Dish B|中華料理B
Chinese Dish C|中華料理C
Chinese Dish D|中華料理D
Chinese Dish E|中華料理E
Chinese Dish F|中華料理F
Chinese Dish G|中華料理G
Chinese Dish H|中華料理H
Sandwich A|サンドイッチA
Sandwich B|サンドイッチB
Sandwich C|サンドイッチC
Sandwich D|サンドイッチD
Sandwich E|サンドイッチE
Sandwich F|サンドイッチF
Sandwich G|サンドイッチG
Sandwich H|サンドイッチH
Hot Dog A|ホットドッグA
Hot Dog B|ホットドッグB
Hot Dog C|ホットドッグC
Hot Dog D|ホットドッグD
Hot Dog E|ホットドッグE
Hot Dog F|ホットドッグF
Hot Dog G|ホットドッグG
Hamburger (Tower)|ハンバーガー（タワー）
Hamburger A|ハンバーガーA
Hamburger B|ハンバーガーB
Hamburger C|ハンバーガーC
Hamburger D|ハンバーガーD
Hamburger E|ハンバーガーE
Hamburger F|ハンバーガーF
Hamburger G|ハンバーガーG
Hamburger (Tower)|ハンバーガー（タワー）
Pancake A|パンケーキA
Pancake B|パンケーキB
Pancake C|パンケーキC
Pancake D|パンケーキD
Pancake E|パンケーキE
Pancake F|パンケーキF
Pancake G|パンケーキG
Pancake H|パンケーキH
Sweets Plate A|スイーツプレートA
Sweets Plate B|スイーツプレートB
Sweets Plate C|スイーツプレートC
Sweets Plate D|スイーツプレートD
Sweets Plate E|スイーツプレートE
Sweets Plate F|スイーツプレートF
Sweets Plate G|スイーツプレートG
Sweets Plate H|スイーツプレートH
Parfait A|パフェA
Parfait B|パフェB
Parfait C|パフェC
Parfait D|パフェD
Parfait E|パフェE
Parfait F|パフェF
Parfait G|パフェG
Parfait H|パフェH
Parfait A|パフェA
Parfait B|パフェB
Parfait C|パフェC
Parfait D|パフェD
Parfait E|パフェE
Parfait F|パフェF
Parfait G|パフェG
Parfait H|パフェH
Cake (Tower) A|ケーキ（タワー）A
Cake (Tower) B|ケーキ（タワー）B
Cake (Tower) C|ケーキ（タワー）C
Cake (Tower) D|ケーキ（タワー）D
Cake (Tower) E|ケーキ（タワー）E
Cake (Tower) F|ケーキ（タワー）F
Cake (Tower) G|ケーキ（タワー）G
Cake (Tower) H|ケーキ（タワー）H
Cake (Tower) A|ケーキ（タワー）A
Cake (Tower) B|ケーキ（タワー）B
Cake (Tower) C|ケーキ（タワー）C
Cake (Tower) D|ケーキ（タワー）D
Cake (Tower) E|ケーキ（タワー）E
Cake (Tower) F|ケーキ（タワー）F
Cake (Tower) G|ケーキ（タワー）G
Cake (Tower) H|ケーキ（タワー）H
Menu Board A|メニューボードA
Menu Board B|メニューボードB
Large Menu Board|大メニューボード
Large Menu Board|大メニューボード
Large Menu Board|大メニューボード
Large Menu Board|大メニューボード
Large Menu Board|大メニューボード
Large Menu Board|大メニューボード
Menu Board A|メニューボードA
Menu Board B|メニューボードB
Large Menu Board|大メニューボード
Large Menu Board|大メニューボード
Large Menu Board|大メニューボード
Large Menu Board|大メニューボード
Large Menu Board|大メニューボード
Large Menu Board|大メニューボード
Drink Server A|ドリンクサーバーA
Drink Server B|ドリンクサーバーB
Drink Server C|ドリンクサーバーC
Drink Server D|ドリンクサーバーD
Drink Server E|ドリンクサーバーE
Drink Server F|ドリンクサーバーF
Pitcher|水差し
Barrel|樽
Drink Server A|ドリンクサーバーA
Drink Server B|ドリンクサーバーB
Drink Server C|ドリンクサーバーC
Drink Server D|ドリンクサーバーD
Drink Server E|ドリンクサーバーE
Drink Server F|ドリンクサーバーF
Pitcher|水差し
Barrel|樽
