Darkness A|暗闇A
Dirt A|土A
Large Wood Bridge (H, Top)|大きな木橋（横・上）
Large Wood Bridge (H, Center)|大きな木橋（横・中央）
Large Steel Bridge (H, Top)|大きな鋼鉄橋（横・上）
Large Wood Bridge (V, Left)|大きな木橋（縦・左）
Large Wood Bridge (V, Center)|大きな木橋（縦・中央）
Large Wood Bridge (V, Right)|大きな木橋（縦・右）
Transparent|透明
Dirt B|土B
Large Wood Bridge (H, Bottom)|大きな木橋（横・下）
Large Steel Bridge (H, Center)|大きな鋼鉄橋（横・中央）
Large Steel Bridge (H, Bottom)|大きな鋼鉄橋（横・下）
Large Steel Bridge (Snow, V, Left)|大きな鋼鉄橋（縦・左）
Large Steel Bridge (Snow, V, Center)|大きな鋼鉄橋（縦・中央）
Large Steel Bridge (Snow, V, Right)|大きな鋼鉄橋（縦・右）
Cobblestones A (White)|石畳A（白）
Cobblestones B (Gray)|石畳B（灰色）
Cobblestones C (Pale Pink)|石畳C（薄桃色）
Cobblestones D (Beige)|石畳D（ベージュ）
Cobblestones E (Pink)|石畳E（ピンク）
Cobblestones F (Pale Blue)|石畳F（薄青）
Cobblestones G (Navy Blue)|石畳G（紺色）
Cobblestones H (Black)|石畳H（黒）
Cobblestones A (3 Color) |石畳A（3色）
Cobblestones B (3 Color) |石畳B（3色）
Cobblestones C (3 Color) |石畳C（3色）
Cobblestones D (3 Color) |石畳D（3色）
Cobblestones E (2 Color) |石畳E（2色）
Cobblestones F (2 Color) |石畳F（2色）
Cobblestones G (2 Color) |石畳G（2色）
Cobblestones H (2 Color) |石畳H（2色）
Cobblestones I (White)|石畳I（白）
Cobblestones J (Gray)|石畳J（灰色）
Cobblestones K (Pale Pink)|石畳K（薄桃色）
Cobblestones L (Beige)|石畳L（ベージュ）
Cobblestones M (Pink)|石畳M（ピンク）
Cobblestones N (Pale Blue)|石畳N（薄青）
Cobblestones O (Navy Blue)|石畳O（紺色）
Cobblestones P (Black)|石畳P（黒）
Wood Ledge (Left)|木段差（左）
Wood Ledge (Center)|木段差（中央）
Wood Ledge (Right)|木段差（右）
Wood Ledge|木段差
Steel Ledge (Left)|鋼鉄段差（左）
Steel Ledge (Center)|鋼鉄段差（中央）
Steel Ledge (Right)|鋼鉄段差（右）
Steel Ledge|鋼鉄段差
Floor A (White)|床A（白）
Floor B (Gray)|床B（灰色）
Floor C (Pale Pink)|床C（薄桃色）
Floor D (Beige)|床D（ベージュ）
Floor E (Pink)|床E（ピンク）
Floor F (Pale Blue)|床F（薄青色）
Floor G (Navy Blue)|床G（紺色）
Floor H (Black)|床H（黒）
Stripe Floor A (Light Gray)|線入り床A（明灰色）
Stripe Floor B (Gray)|線入り床B（灰色）
Stripe Floor C (Pale Pink)|線入り床C（薄桃色）
Stripe Floor D (Beige)|線入り床D（ベージュ）
Stripe Floor E (Pink)|線入り床E（ピンク）
Stripe Floor F (Pale Blue)|線入り床F（薄青色）
